Team,Match Up,Game Date,W/L,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp PTS OFF TO,Opp 2nd PTS,Opp FBPs,Opp PITP,TEAM_ID,GAME_ID
BOS,BOS vs. DAL,06/17/2024,W,48,17,11,16,42,6,6,9,42,1610612738,0042300405
DAL,DAL @ BOS,06/17/2024,L,48,6,6,9,42,17,11,16,42,1610612742,0042300405
DAL,DAL vs. BOS,06/14/2024,W,48,17,16,11,60,9,2,6,26,1610612742,0042300404
BOS,BOS @ DAL,06/14/2024,L,48,9,2,6,26,17,16,11,60,1610612738,0042300404
BOS,BOS @ DAL,06/12/2024,W,48,13,6,12,36,12,14,12,52,1610612738,0042300403
DAL,DAL vs. BOS,06/12/2024,L,48,12,14,12,52,13,6,12,36,1610612742,0042300403
BOS,BOS vs. DAL,06/09/2024,W,48,21,10,15,46,12,13,7,54,1610612738,0042300402
DAL,DAL @ BOS,06/09/2024,L,48,12,13,7,54,21,10,15,46,1610612742,0042300402
BOS,BOS vs. DAL,06/06/2024,W,48,18,10,10,38,13,16,6,46,1610612738,0042300401
DAL,DAL @ BOS,06/06/2024,L,48,13,16,6,46,18,10,10,38,1610612742,0042300401
MIN,MIN vs. DAL,05/30/2024,L,48,8,14,10,46,14,11,8,48,1610612750,0042300315
DAL,DAL @ MIN,05/30/2024,W,48,14,11,8,48,8,14,10,46,1610612742,0042300315
DAL,DAL vs. MIN,05/28/2024,L,48,30,11,14,36,15,7,13,46,1610612742,0042300314
MIN,MIN @ DAL,05/28/2024,W,48,15,7,13,46,30,11,14,36,1610612750,0042300314
IND,IND vs. BOS,05/27/2024,L,48,11,11,15,46,9,11,14,48,1610612754,0042300304
BOS,BOS @ IND,05/27/2024,W,48,9,11,14,48,11,11,15,46,1610612738,0042300304
MIN,MIN @ DAL,05/26/2024,L,48,10,12,4,50,15,6,11,40,1610612750,0042300313
DAL,DAL vs. MIN,05/26/2024,W,48,15,6,11,40,10,12,4,50,1610612742,0042300313
BOS,BOS @ IND,05/25/2024,W,48,20,8,17,40,13,13,15,68,1610612738,0042300303
IND,IND vs. BOS,05/25/2024,L,48,13,13,15,68,20,8,17,40,1610612754,0042300303
DAL,DAL @ MIN,05/24/2024,W,48,13,8,14,54,9,12,11,42,1610612742,0042300312
MIN,MIN vs. DAL,05/24/2024,L,48,9,12,11,42,13,8,14,54,1610612750,0042300312
IND,IND @ BOS,05/23/2024,L,48,12,13,7,36,12,18,10,54,1610612754,0042300302
BOS,BOS vs. IND,05/23/2024,W,48,12,18,10,54,12,13,7,36,1610612738,0042300302
DAL,DAL @ MIN,05/22/2024,W,48,14,11,9,62,9,15,12,38,1610612742,0042300311
MIN,MIN vs. DAL,05/22/2024,L,48,9,15,12,38,14,11,9,62,1610612750,0042300311
IND,IND @ BOS,05/21/2024,L,53,21,15,14,56,32,19,16,58,1610612754,0042300301
BOS,BOS vs. IND,05/21/2024,W,53,32,19,16,58,21,15,14,56,1610612738,0042300301
MIN,MIN @ DEN,05/19/2024,W,48,15,14,13,34,12,16,7,42,1610612750,0042300237
DEN,DEN vs. MIN,05/19/2024,L,48,12,16,7,42,15,14,13,34,1610612743,0042300237
IND,IND @ NYK,05/19/2024,W,48,15,6,11,52,12,14,17,38,1610612754,0042300217
NYK,NYK vs. IND,05/19/2024,L,48,12,14,17,38,15,6,11,52,1610612752,0042300217
DAL,DAL vs. OKC,05/18/2024,W,48,19,27,10,40,27,8,15,46,1610612742,0042300226
OKC,OKC @ DAL,05/18/2024,L,48,27,8,15,46,19,27,10,40,1610612760,0042300226
IND,IND vs. NYK,05/17/2024,W,48,12,21,8,62,6,22,9,38,1610612754,0042300216
NYK,NYK @ IND,05/17/2024,L,48,6,22,9,38,12,21,8,62,1610612752,0042300216
DEN,DEN @ MIN,05/16/2024,L,48,3,12,9,36,19,15,18,46,1610612743,0042300236
MIN,MIN vs. DEN,05/16/2024,W,48,19,15,18,46,3,12,9,36,1610612750,0042300236
CLE,CLE @ BOS,05/15/2024,L,48,21,5,0,42,11,12,6,40,1610612739,0042300205
OKC,OKC vs. DAL,05/15/2024,L,48,17,5,8,44,9,12,10,48,1610612760,0042300225
DAL,DAL @ OKC,05/15/2024,W,48,9,12,10,48,17,5,8,44,1610612742,0042300225
BOS,BOS vs. CLE,05/15/2024,W,48,11,12,6,40,21,5,0,42,1610612738,0042300205
IND,IND @ NYK,05/14/2024,L,48,18,9,14,36,24,27,13,62,1610612754,0042300215
MIN,MIN @ DEN,05/14/2024,L,48,12,13,4,48,18,8,16,62,1610612750,0042300235
NYK,NYK vs. IND,05/14/2024,W,48,24,27,13,62,18,9,14,36,1610612752,0042300215
DEN,DEN vs. MIN,05/14/2024,W,48,18,8,16,62,12,13,4,48,1610612743,0042300235
OKC,OKC @ DAL,05/13/2024,W,48,19,13,14,28,10,13,11,40,1610612760,0042300224
DAL,DAL vs. OKC,05/13/2024,L,48,10,13,11,40,19,13,14,28,1610612742,0042300224
CLE,CLE vs. BOS,05/13/2024,L,48,26,10,15,44,14,16,22,38,1610612739,0042300204
BOS,BOS @ CLE,05/13/2024,W,48,14,16,22,38,26,10,15,44,1610612738,0042300204
